id,category,name,radius,base_assignment,spawn_borough
basic-engine-1,engine-only-response,Brush Fire,30,one_engine,City-wide
basic-engine-2,engine-only-response,Tree Fire,30,one_engine,City-wide
basic-engine-3,engine-only-response,Garbage Can Fire,30,one_engine,City-wide
basic-engine-4,engine-only-response,Small Brush Fire in Vacant Lot,30,one_engine,City-wide
basic-engine-5,engine-only-response,Brush Fire in Park,30,one_engine,City-wide
basic-engine-6,engine-only-response,Brush Fire on the Street,30,one_engine,City-wide
basic-engine-7,engine-only-response,Grass Fire in Median Strip,30,one_engine,City-wide
basic-engine-8,engine-only-response,Grass Fire in Backyard,30,one_engine,City-wide
basic-engine-9,engine-only-response,Mulch Fire Around Trees,30,one_engine,City-wide
basic-engine-10,engine-only-response,Shrub Fire Outside Building,30,one_engine,City-wide
basic-engine-11,engine-only-response,Hedge Fire,30,one_engine,City-wide
basic-engine-12,engine-only-response,Bamboo Fire,30,one_engine,City-wide
basic-engine-13,engine-only-response,Small Forested Area Fire,30,one_engine,City-wide
basic-engine-14,engine-only-response,Fire in Marsh Grass,30,one_engine,City-wide
basic-engine-15,engine-only-response,Fire in Vegetation,30,one_engine,City-wide
basic-engine-16,engine-only-response,Fire in Abandoned Field,30,one_engine,City-wide
basic-engine-17,engine-only-response,Fire in Community Garden,30,one_engine,City-wide
basic-engine-18,engine-only-response,Fire in Playground Vegetation,30,one_engine,City-wide
basic-engine-19,engine-only-response,Fire in Roadside Brush,30,one_engine,City-wide
basic-engine-20,engine-only-response,Fire in Dry Reeds,30,one_engine,City-wide
basic-engine-21,engine-only-response,Fire in Overgrown Vacant Property,30,one_engine,City-wide
basic-engine-22,engine-only-response,Trash Can Fire,30,one_engine,City-wide
basic-engine-23,engine-only-response,Dumpster Fire,30,one_engine,City-wide
basic-engine-24,engine-only-response,Commercial Dumpster Fire,30,one_engine,City-wide
basic-engine-25,engine-only-response,Residential Garbage Pile Fire,30,one_engine,City-wide
basic-engine-26,engine-only-response,Leaf Pile Fire,30,one_engine,City-wide
basic-engine-27,engine-only-response,Construction Debris Fire,30,one_engine,City-wide
basic-engine-28,engine-only-response,Mattress Fire Outdoors,30,one_engine,City-wide
basic-engine-29,engine-only-response,Pallet Fire,30,one_engine,City-wide
basic-engine-30,engine-only-response,Tire Pile Fire,30,one_engine,City-wide
basic-engine-31,engine-only-response,Cardboard Pile Fire,30,one_engine,City-wide
basic-engine-32,engine-only-response,Newspaper Pile Fire,30,one_engine,City-wide
basic-engine-33,engine-only-response,Furniture Discarded Curbside on Fire,30,one_engine,City-wide
basic-engine-34,engine-only-response,Recycling Container Fire,30,one_engine,City-wide
basic-engine-35,engine-only-response,Bulk Refuse Fire,30,one_engine,City-wide
basic-engine-36,engine-only-response,Appliance Discarded Outdoors on Fire,30,one_engine,City-wide
basic-engine-37,engine-only-response,Christmas Tree Disposal Fire,30,one_engine,City-wide
basic-engine-38,engine-only-response,Shopping Cart Contents on Fire,30,one_engine,City-wide
basic-engine-39,engine-only-response,Wood Pile Fire,30,one_engine,City-wide
basic-engine-40,engine-only-response,Yard Waste Fire,30,one_engine,City-wide
basic-engine-41,engine-only-response,Illegal Dumping Fire,30,one_engine,City-wide
basic-engine-42,engine-only-response,Fence Fire,30,one_engine,City-wide
basic-engine-43,engine-only-response,Utility Pole Fire,30,one_engine,City-wide
basic-engine-44,engine-only-response,Telephone Pole Fire,30,one_engine,City-wide
basic-engine-45,engine-only-response,Signboard Fire,30,one_engine,City-wide
basic-engine-46,engine-only-response,Mailbox Fire,30,one_engine,City-wide
basic-engine-47,engine-only-response,Bus Shelter Fire,30,one_engine,City-wide
basic-engine-48,engine-only-response,Portable Toilet Fire,30,one_engine,City-wide
basic-engine-49,engine-only-response,Park Bench Fire,30,one_engine,City-wide
basic-engine-50,engine-only-response,Playground Equipment Fire,30,one_engine,City-wide
basic-engine-51,engine-only-response,Construction Cone Fire,30,one_engine,City-wide
basic-engine-52,engine-only-response,Traffic Barrier Fire,30,one_engine,City-wide
basic-engine-53,engine-only-response,Exterior Decorative Lighting Fire,30,one_engine,City-wide
basic-engine-54,engine-only-response,Outdoor Storage Bin Fire,30,one_engine,City-wide
basic-engine-55,engine-only-response,Detached Shed Contents Fire,30,one_engine,City-wide
basic-engine-56,engine-only-response,Outdoor Couch Fire,30,one_engine,City-wide
basic-engine-57,engine-only-response,Fire in Abandoned Shopping Cart,30,one_engine,City-wide
basic-engine-58,engine-only-response,Fire in Discarded Clothing Pile,30,one_engine,City-wide
basic-engine-59,engine-only-response,Fire in Recycling Bags,30,one_engine,City-wide
basic-engine-60,engine-only-response,Fire Involving Exterior Tarps,30,one_engine,City-wide
basic-engine-61,engine-only-response,Downed Electrical Wire on Street,30,one_engine,City-wide
basic-engine-62,engine-only-response,Downed Wire on Parked Vehicle,30,one_engine,City-wide
basic-engine-63,engine-only-response,Wire Arcing on Sidewalk,30,one_engine,City-wide
basic-engine-64,engine-only-response,Wire Sparking in Tree,30,one_engine,City-wide
basic-engine-65,engine-only-response,Transformer Wire Down,30,one_engine,City-wide
basic-engine-66,engine-only-response,Telephone Wire Down,30,one_engine,City-wide
basic-engine-67,engine-only-response,Cable TV Wire Down,30,one_engine,City-wide
basic-engine-68,engine-only-response,Wire Hanging Low Across Roadway,30,one_engine,City-wide
basic-engine-69,engine-only-response,Pole-to-House Service Wire Down,30,one_engine,City-wide
basic-engine-70,engine-only-response,Wire Down in Backyard,30,one_engine,City-wide
basic-engine-71,engine-only-response,Wire Down on Fence,30,one_engine,City-wide
basic-engine-72,engine-only-response,Wire Smoking,30,one_engine,City-wide
basic-engine-73,engine-only-response,Wire Down During Windstorm,30,one_engine,City-wide
basic-engine-74,engine-only-response,Wire Down Across Driveway,30,one_engine,City-wide
basic-engine-75,engine-only-response,Wire Touching Metal Railing,30,one_engine,City-wide
basic-engine-76,engine-only-response,Wire Down in Playground,30,one_engine,City-wide
basic-engine-77,engine-only-response,Wire Down on Bus Stop,30,one_engine,City-wide
basic-engine-78,engine-only-response,Multiple Wires Down After Storm,30,one_engine,City-wide
basic-engine-79,engine-only-response,Unknown Wire Condition Investigation,30,one_engine,City-wide
basic-engine-80,engine-only-response,Refrigerator Refrigerant Leak,30,one_engine,City-wide
basic-engine-81,engine-only-response,Air Conditioner Refrigerant Leak,30,one_engine,City-wide
basic-engine-82,engine-only-response,Heat Pump Refrigerant Leak,30,one_engine,City-wide
basic-engine-83,engine-only-response,Window AC Unit Leak,30,one_engine,City-wide
