id,callsign,type,status,station_id
fdny-engine-258,Engine 258,Engine,Available,FDNY-E258L115
fdny-ladder-115,Ladder 115,Tower Ladder,Available,FDNY-E258L115
fdny-battalion-45,Battalion 45,Battalion,Available,FDNY-E259L128B45
fdny-engine-259,Engine 259,Engine,Available,FDNY-E259L128B45
fdny-ladder-128,Ladder 128,Rear Mount,Available,FDNY-E259L128B45
fdny-engine-260,Engine 260,Engine,Available,FDNY-E260
fdny-engine-291,Engine 291,Engine,Available,FDNY-E291L140
fdny-ladder-140,Ladder 140,Rear Mount,Available,FDNY-E291L140
fdny-dsu-1,DSU 1,DSU,Available,FDNY-DSU
fdny-engine-10,Engine 10,Engine,Available,FDNY-E10L10
fdny-ladder-10,Ladder 10,Rear Mount,Available,FDNY-E10L10
fdny-engine-14,Engine 14,Engine,Available,FDNY-E14
fdny-engine-151,Engine 151,Engine,Available,FDNY-E151L76
fdny-ladder-76,Ladder 76,Tower Ladder,Available,FDNY-E151L76
fdny-battalion-21,Battalion 21,Battalion,Available,FDNY-E152B21
fdny-engine-152,Engine 152,Engine,Available,FDNY-E152B21
fdny-engine-153,Engine 153,Engine,Available,FDNY-E153L77
fdny-ladder-77,Ladder 77,Tower Ladder,Available,FDNY-E153L77
fdny-engine-155,Engine 155,Engine,Available,FDNY-E155L78
fdny-ladder-78,Ladder 78,Rear Mount,Available,FDNY-E155L78
fdny-engine-156,Engine 156,Engine,Available,FDNY-E156
fdny-engine-157,Engine 157,Engine,Available,FDNY-E157L80
fdny-ladder-80,Ladder 80,Rear Mount,Available,FDNY-E157L80
fdny-engine-158,Engine 158,Engine,Available,FDNY-E158
fdny-engine-159,Engine 159,Engine,Available,FDNY-E159
fdny-satellite-5,Satellite 5,Satellite,Available,FDNY-E159
fdny-battalion-4,Battalion 4,Battalion,Available,FDNY-E15L18B4
fdny-engine-15,Engine 15,Engine,Available,FDNY-E15L18B4
fdny-ladder-18,Ladder 18,Tower Ladder,Available,FDNY-E15L18B4
fdny-collapse-5,Collapse 5,Collapse,Available,FDNY-E160R5D8
fdny-division-8,Division 8,Division,Available,FDNY-E160R5D8
fdny-engine-160,Engine 160,Engine,Available,FDNY-E160R5D8
fdny-rescue-5,Rescue 5,Rescue,Available,FDNY-E160R5D8
fdny-tsu-2,TSU 2,TSU,Available,FDNY-E160R5D8
fdny-engine-161,Engine 161,Engine,Available,FDNY-E161L81
fdny-ladder-81,Ladder 81,Rear Mount,Available,FDNY-E161L81
fdny-battalion-23,Battalion 23,Battalion,Available,FDNY-E162L82B23
fdny-engine-162,Engine 162,Engine,Available,FDNY-E162L82B23
fdny-ladder-82,Ladder 82,Rear Mount,Available,FDNY-E162L82B23
fdny-engine-163,Engine 163,Engine,Available,FDNY-E163L83
fdny-ladder-83,Ladder 83,Rear Mount,Available,FDNY-E163L83
fdny-engine-164,Engine 164,Engine,Available,FDNY-E164L84
fdny-ladder-84,Ladder 84,Rear Mount,Available,FDNY-E164L84
fdny-engine-165,Engine 165,Engine,Available,FDNY-E165L85
fdny-htmu-165,HTMU 165,HazMat,Available,FDNY-E165L85
fdny-ladder-85,Ladder 85,Tower Ladder,Available,FDNY-E165L85
fdny-engine-166,Engine 166,Engine,Available,FDNY-E166L86
fdny-ladder-86,Ladder 86,Tower Ladder,Available,FDNY-E166L86
fdny-engine-167,Engine 167,Engine,Available,FDNY-E167L87
fdny-ladder-87,Ladder 87,Tower Ladder,Available,FDNY-E167L87
fdny-engine-168,Engine 168,Engine,Available,FDNY-E168
fdny-engine-16,Engine 16,Engine,Available,FDNY-E16L7
fdny-ladder-7,Ladder 7,Tower Ladder,Available,FDNY-E16L7
fdny-engine-1,Engine 1,Engine,Available,FDNY-E1L24
fdny-ladder-24,Ladder 24,Rear Mount,Available,FDNY-E1L24
fdny-battalion-40,Battalion 40,Battalion,Available,FDNY-E201L114B40
fdny-engine-201,Engine 201,Engine,Available,FDNY-E201L114B40
fdny-ladder-114,Ladder 114,Tower Ladder,Available,FDNY-E201L114B40
fdny-battalion-32,Battalion 32,Battalion,Available,FDNY-E202L101B32
fdny-engine-202,Engine 202,Engine,Available,FDNY-E202L101B32
fdny-ladder-101,Ladder 101,Tractor Trailor,Available,FDNY-E202L101B32
fdny-engine-205,Engine 205,Engine,Available,FDNY-E205L118
fdny-ladder-118,Ladder 118,Tractor Trailor,Available,FDNY-E205L118
fdny-engine-206,Engine 206,Engine,Available,FDNY-E206
fdny-battalion-31,Battalion 31,Battalion,Available,FDNY-E207L110B31D11
fdny-division-11,Division 11,Division,Available,FDNY-E207L110B31D11
fdny-engine-207,Engine 207,Engine,Available,FDNY-E207L110B31D11
fdny-ladder-110,Ladder 110,Rear Mount,Available,FDNY-E207L110B31D11
fdny-satellite-6,Satellite 6,Satellite,Available,FDNY-E207L110B31D11
fdny-engine-21,Engine 21,Engine,Available,FDNY-E21
fdny-engine-210,Engine 210,Engine,Available,FDNY-E210
fdny-engine-211,Engine 211,Engine,Available,FDNY-E211L119
fdny-ladder-119,Ladder 119,Tower Ladder,Available,FDNY-E211L119
fdny-engine-214,Engine 214,Engine,Available,FDNY-E214L111
fdny-ladder-111,Ladder 111,Tower Ladder,Available,FDNY-E214L111
fdny-battalion-35,Battalion 35,Battalion,Available,FDNY-E216L108B35
fdny-engine-216,Engine 216,Engine,Available,FDNY-E216L108B35
fdny-ladder-108,Ladder 108,Rear Mount,Available,FDNY-E216L108B35
fdny-engine-217,Engine 217,Engine,Available,FDNY-E217
fdny-engine-218,Engine 218,Engine,Available,FDNY-E218
fdny-engine-219,Engine 219,Engine,Available,FDNY-E219L105
fdny-ladder-105,Ladder 105,Tower Ladder,Available,FDNY-E219L105
fdny-engine-220,Engine 220,Engine,Available,FDNY-E220L122
fdny-ladder-122,Ladder 122,Rear Mount,Available,FDNY-E220L122
fdny-engine-221,Engine 221,Engine,Available,FDNY-E221L104
fdny-ladder-104,Ladder 104,Tractor Trailor,Available,FDNY-E221L104
fdny-battalion-37,Battalion 37,Battalion,Available,FDNY-E222B37
fdny-engine-222,Engine 222,Engine,Available,FDNY-E222B37
fdny-engine-224,Engine 224,Engine,Available,FDNY-E224
fdny-battalion-39,Battalion 39,Battalion,Available,FDNY-E225L107B39
fdny-engine-225,Engine 225,Engine,Available,FDNY-E225L107B39
fdny-ladder-107,Ladder 107,Tower Ladder,Available,FDNY-E225L107B39
fdny-engine-226,Engine 226,Engine,Available,FDNY-E226
fdny-engine-227,Engine 227,Engine,Available,FDNY-E227
fdny-engine-228,Engine 228,Engine,Available,FDNY-E228
fdny-engine-229,Engine 229,Engine,Available,FDNY-E229L146
fdny-ladder-146,Ladder 146,Tower Ladder,Available,FDNY-E229L146
fdny-battalion-10,Battalion 10,Battalion,Available,FDNY-E22L13B10
fdny-engine-22,Engine 22,Engine,Available,FDNY-E22L13B10
fdny-ladder-13,Ladder 13,Tower Ladder,Available,FDNY-E22L13B10
fdny-engine-23,Engine 23,Engine,Available,FDNY-E23
fdny-engine-230,Engine 230,Engine,Available,FDNY-E230
fdny-battalion-44,Battalion 44,Battalion,Available,FDNY-E231L120B44
fdny-engine-231,Engine 231,Engine,Available,FDNY-E231L120B44
fdny-ladder-120,Ladder 120,Tower Ladder,Available,FDNY-E231L120B44
fdny-engine-233,Engine 233,Engine,Available,FDNY-E233L176
fdny-fc-1,Field Comm. 1,Field Comm.,Available,FDNY-E233L176
fdny-mcp1,Mobile Command Post 1,MCP,Available,FDNY-E233L176
fdny-ladder-176,Ladder 176,Rear Mount,Available,FDNY-E233L176
fdny-battalion-38,Battalion 38,Battalion,Available,FDNY-E234L123B38
fdny-engine-234,Engine 234,Engine,Available,FDNY-E234L123B38
fdny-ladder-123,Ladder 123,Rear Mount,Available,FDNY-E234L123B38
fdny-battalion-57,Battalion 57,Battalion,Available,FDNY-E235B57
fdny-engine-235,Engine 235,Engine,Available,FDNY-E235B57
fdny-engine-236,Engine 236,Engine,Available,FDNY-E236
fdny-engine-237,Engine 237,Engine,Available,FDNY-E237
fdny-engine-238,Engine 238,Engine,Available,FDNY-E238L106
fdny-foam-1,Foam 1,Foam,Available,FDNY-E238L106
fdny-ladder-106,Ladder 106,Tractor Trailor,Available,FDNY-E238L106
fdny-engine-239,Engine 239,Engine,Available,FDNY-E239
fdny-engine-240,Engine 240,Engine,Available,FDNY-E240B48
fdny-engine-241,Engine 241,Engine,Available,FDNY-E241L109
fdny-ladder-109,Ladder 109,Rear Mount,Available,FDNY-E241L109
fdny-engine-242,Engine 242,Engine,Available,FDNY-E242
fdny-rac-5,RAC 5,RAC,Available,FDNY-E242
fdny-battalion-42,Battalion 42,Battalion,Available,FDNY-E243L168B42
fdny-engine-243,Engine 243,Engine,Available,FDNY-E243L168B42
fdny-ladder-168,Ladder 168,Rear Mount,Available,FDNY-E243L168B42
fdny-battalion-43,Battalion 43,Battalion,Available,FDNY-E245L161B43
fdny-engine-245,Engine 245,Engine,Available,FDNY-E245L161B43
fdny-ladder-161,Ladder 161,Tower Ladder,Available,FDNY-E245L161B43
fdny-engine-246,Engine 246,Engine,Available,FDNY-E246L169
fdny-ladder-169,Ladder 169,Rear Mount,Available,FDNY-E246L169
fdny-engine-247,Engine 247,Engine,Available,FDNY-E247
fdny-battalion-41,Battalion 41,Battalion,Available,FDNY-E248B41
fdny-engine-248,Engine 248,Engine,Available,FDNY-E248B41
fdny-engine-249,Engine 249,Engine,Available,FDNY-E249L113
fdny-ladder-113,Ladder 113,Rear Mount,Available,FDNY-E249L113
fdny-engine-24,Engine 24,Engine,Available,FDNY-E24L5B2
fdny-ladder-5,Ladder 5,Tractor Trailor,Available,FDNY-E24L5B2
fdny-battalion-2,Battalion 2,Battalion,Available,FDNY-E24L5B2
fdny-engine-250,Engine 250,Engine,Available,FDNY-E250
fdny-htmu-250,HTMU 250,HazMat,Available,FDNY-E250
fdny-engine-251,Engine 251,Engine,Available,FDNY-E251
fdny-engine-253,Engine 253,Engine,Available,FDNY-E253
fdny-engine-254,Engine 254,Engine,Available,FDNY-E254L153
fdny-ladder-153,Ladder 153,Tower Ladder,Available,FDNY-E254L153
fdny-engine-255,Engine 255,Engine,Available,FDNY-E255L157
fdny-ladder-157,Ladder 157,Tower Ladder,Available,FDNY-E255L157
fdny-battalion-58,Battalion 58,Battalion,Available,FDNY-E257L170B58
fdny-engine-257,Engine 257,Engine,Available,FDNY-E257L170B58
fdny-ladder-170,Ladder 170,Tower Ladder,Available,FDNY-E257L170B58
fdny-engine-26,Engine 26,Engine,Available,FDNY-E26
fdny-engine-262,Engine 262,Engine,Available,FDNY-E262
fdny-imt-1,IMT Planning Vehicle 1,IMT,Available,FDNY-E262
fdny-engine-263,Engine 263,Engine,Available,FDNY-E263L117
fdny-ladder-117,Ladder 117,Tower Ladder,Available,FDNY-E263L117
fdny-engine-264,Engine 264,Engine,Available,FDNY-E264E328L134
fdny-engine-328,Engine 328,Engine,Available,FDNY-E264E328L134
fdny-ladder-134,Ladder 134,Rear Mount,Available,FDNY-E264E328L134
fdny-battalion-47,Battalion 47,Battalion,Available,FDNY-E265L121B47
fdny-engine-265,Engine 265,Engine,Available,FDNY-E265L121B47
fdny-ladder-121,Ladder 121,Tower Ladder,Available,FDNY-E265L121B47
fdny-engine-266,Engine 266,Engine,Available,FDNY-E266
fdny-engine-268,Engine 268,Engine,Available,FDNY-E268L137
fdny-ladder-137,Ladder 137,Rear Mount,Available,FDNY-E268L137
fdny-battalion-28,Battalion 28,Battalion,Available,FDNY-E271L124B28
fdny-engine-271,Engine 271,Engine,Available,FDNY-E271L124B28
fdny-ladder-124,Ladder 124,Tower Ladder,Available,FDNY-E271L124B28
fdny-engine-273,Engine 273,Engine,Available,FDNY-E273L129
fdny-ladder-129,Ladder 129,Rear Mount,Available,FDNY-E273L129
fdny-battalion-52,Battalion 52,Battalion,Available,FDNY-E274B52
fdny-engine-274,Engine 274,Engine,Available,FDNY-E274B52
fdny-htmu-274,HTMU 274,HazMat,Available,FDNY-E274B52
fdny-engine-275,Engine 275,Engine,Available,FDNY-E275L133
fdny-ladder-133,Ladder 133,Rear Mount,Available,FDNY-E275L133
fdny-battalion-33,Battalion 33,Battalion,Available,FDNY-E276L156B33
fdny-engine-276,Engine 276,Engine,Available,FDNY-E276L156B33
fdny-ladder-156,Ladder 156,Rear Mount,Available,FDNY-E276L156B33
fdny-engine-277,Engine 277,Engine,Available,FDNY-E277L112
fdny-ladder-112,Ladder 112,Rear Mount,Available,FDNY-E277L112
fdny-engine-279,Engine 279,Engine,Available,FDNY-E279L131
fdny-ladder-131,Ladder 131,Tower Ladder,Available,FDNY-E279L131
fdny-collapse-2,Collapse 2,Collapse,Available,FDNY-E280L132
fdny-engine-280,Engine 280,Engine,Available,FDNY-E280L132
fdny-ladder-132,Ladder 132,Rear Mount,Available,FDNY-E280L132
fdny-engine-281,Engine 281,Engine,Available,FDNY-E281L147
fdny-ladder-147,Ladder 147,Tractor Trailor,Available,FDNY-E281L147
fdny-engine-282,Engine 282,Engine,Available,FDNY-E282L148
fdny-ladder-148,Ladder 148,Rear Mount,Available,FDNY-E282L148
fdny-division-15,Division 15,Division,Available,FDNY-E283D15
fdny-engine-283,Engine 283,Engine,Available,FDNY-E283D15
fdny-engine-284,Engine 284,Engine,Available,FDNY-E284L149
fdny-satellite-3,Satellite 3,Satellite,Available,FDNY-E284L149
fdny-ladder-149,Ladder 149,Tower Ladder,Available,FDNY-E284L149
fdny-engine-285,Engine 285,Engine,Available,FDNY-E285L142
fdny-ladder-142,Ladder 142,Tower Ladder,Available,FDNY-E285L142
fdny-engine-286,Engine 286,Engine,Available,FDNY-E286L135
fdny-ladder-135,Ladder 135,Tower Ladder,Available,FDNY-E286L135
fdny-battalion-46,Battalion 46,Battalion,Available,FDNY-E287L136B46
fdny-engine-287,Engine 287,Engine,Available,FDNY-E287L136B46
fdny-ladder-136,Ladder 136,Rear Mount,Available,FDNY-E287L136B46
fdny-engine-289,Engine 289,Engine,Available,FDNY-E289L138
fdny-ladder-138,Ladder 138,Tower Ladder,Available,FDNY-E289L138
fdny-engine-28,Engine 28,Engine,Available,FDNY-E28L11
fdny-ladder-11,Ladder 11,Rear Mount,Available,FDNY-E28L11
fdny-engine-290,Engine 290,Engine,Available,FDNY-E290L103
